Country,Destroyed_Count
Equatorial Guinea,18
Afghanistan,16
Cocos (Keeling) Islands,16
"Bonaire, Saint Eustatius and Saba",16
Anguilla,16
Djibouti,16
Mayotte,15
Cayman Islands,15
Cyprus,15
St. Pierre and Miquelon,15
Norfolk Island,15
Senegal,15
Bahrain,15
United States Minor Outlying Islands,15
Malta,15
Guadeloupe,15
Grenada,15
Sao Tome and Principe,15
Niger,14
Mali,14
Macau,14
Ecuador,14
North Korea,14
Gabon,14
Northern Mariana Islands,14
Comoros,14
Honduras,14
Mozambique,14
Guinea,14
Chad,14
Reunion,14
Guyana,14
Saint-Martin,14
"Micronesia, Fed. Sts.",14
Iraq,14
Azerbaijan,14
Sint Maarten,14
Bahamas,14
Antigua and Barbuda,14
St. Kitts and Nevis,14
Solomon Islands,14
Botswana,14
Seychelles,14
Wallis and Futuna Islands,14
St. Helena,14
Montenegro,13
Mauritania,13
Eswatini,13
Monaco,13
Eritrea,13
Trinidad and Tobago,13
Brunei Darussalam,13
Turks and Caicos Islands,13
Argentina,13
French Guiana,13
French Southern Territories,13
Uganda,13
Maldives,13
United Arab Emirates,13
Libya,13
Angola,13
United States Virgin Islands,13
Kiribati,13
Italy,13
Nauru,13
Papua New Guinea,13
Netherlands,13
Costa Rica,13
British Virgin Islands,13
Cabo Verde,13
Qatar,13
Pitcairn,13
Paraguay,13
Sri Lanka,13
St. Barths,13
Nicaragua,13
Cook Islands,13
Bhutan,13
Cote d'Ivoire,13
Svalbard and Jan Mayen Islands,13
Cuba,13
Curacao,13
Barbados,13
Martinique,12
San Marino,12
Tanzania,12
Jersey,12
Vatican,12
Jordan,12
Kenya,12
Kuwait,12
Romania,12
Marshall Islands,12
Kyrgyz Republic,12
Suriname,12
St. Lucia,12
Mauritius,12
Panama,12
Serbia,12
Liberia,12
Bouvet Island,12
Germany,12
Bermuda,12
British Indian Ocean Territory,12
Bulgaria,12
Burundi,12
Cambodia,12
Central African Republic,12
Georgia,12
Belarus,12
Gambia,12
Chile,12
Fiji,12
Ethiopia,12
Dominica,12
Dominican Republic,12
Benin,12
Egypt,12
Heard and McDonald Islands,12
Guernsey,12
Guam,12
Albania,12
Haiti,12
Guinea-Bissau,12
Aruba,12
Hungary,11
Colombia,11
American Samoa,11
Tajikistan,11
Palau,11
Croatia,11
Niue,11
Uruguay,11
Nigeria,11
Algeria,11
New Caledonia,11
Oman,11
Tunisia,11
Turkmenistan,11
Samoa,11
Australia,11
Tonga,11
Singapore,11
Brazil,11
Myanmar,11
South Africa,11
Togo,11
Austria,11
Belize,11
St. Vincent and the Grenadines,11
Sudan,11
Philippines,11
Zimbabwe,11
El Salvador,11
Mongolia,11
Falkland Islands,11
Madagascar,11
Guatemala,11
Isle of Man,11
Latvia,11
Liechtenstein,11
Moldova,11
Estonia,11
Montserrat,11
Ireland,11
Greenland,10
Cameroon,10
Rwanda,10
Malawi,10
Bangladesh,10
Sweden,10
Ghana,10
Greece,10
Laos,10
Sierra Leone,10
Slovakia,10
Slovenia,10
Lesotho,10
Somalia,10
Switzerland,10
South Georgia and South Sandwich Is.,10
Thailand,10
United Kingdom,10
Nepal,10
DR Congo,10
Iceland,10
Vanuatu,10
Faroe Islands,10
Portugal,10
Andorra,10
Armenia,10
Congo Republic,10
Finland,10
Christmas Island,10
Türkiye,10
South Sudan,10
Timor-Leste,10
Belgium,9
Uzbekistan,9
Zambia,9
Jamaica,9
Bolivia,9
Namibia,9
Hong Kong,9
Burkina Faso,9
Malaysia,9
France,9
Morocco,9
Peru,9
Puerto Rico,9
Saudi Arabia,9
Luxembourg,9
Lithuania,9
Aland Islands,9
Pakistan,9
Venezuela,8
Czechia,8
Spain,8
Japan,8
Tokelau,8
Kazakhstan,8
Kosovo,8
French Polynesia,8
Syria,8
Canada,8
North Macedonia,8
Lebanon,8
Gibraltar,8
Bosnia and Herzegovina,8
Iran,8
New Zealand,7
Norway,7
Western Sahara,7
Vietnam,7
Indonesia,7
South Korea,7
Tuvalu,7
Ukraine,6
Denmark,6
Israel,6
Poland,6
Yemen,6
Russia,6
United States,5
Antarctica,5
India,5
Palestine,5
Taiwan,5
Mexico,4
China,3
